"Longitude","Latitude","Timeslice","Ice_ensemble"
-22.5,72.3615798950195,21,"Ice-sheet"
15,68.6520156860352,21,"Ice-sheet"
18.75,68.6520156860352,21,"Ice-sheet"
22.5,68.6520156860352,21,"Ice-sheet"
26.25,68.6520156860352,21,"Ice-sheet"
30,68.6520156860352,21,"Ice-sheet"
33.75,68.6520156860352,21,"Ice-sheet"
37.5,68.6520156860352,21,"Ice-sheet"
41.25,68.6520156860352,21,"Ice-sheet"
45,68.6520156860352,21,"Ice-sheet"
48.75,68.6520156860352,21,"Ice-sheet"
-138.75,68.6520156860352,21,"Ice-sheet"
-135,68.6520156860352,21,"Ice-sheet"
-131.25,68.6520156860352,21,"Ice-sheet"
-127.5,68.6520156860352,21,"Ice-sheet"
-123.75,68.6520156860352,21,"Ice-sheet"
-120,68.6520156860352,21,"Ice-sheet"
-116.25,68.6520156860352,21,"Ice-sheet"
-112.5,68.6520156860352,21,"Ice-sheet"
-108.75,68.6520156860352,21,"Ice-sheet"
-105,68.6520156860352,21,"Ice-sheet"
-101.25,68.6520156860352,21,"Ice-sheet"
-97.5,68.6520156860352,21,"Ice-sheet"
-93.75,68.6520156860352,21,"Ice-sheet"
-90,68.6520156860352,21,"Ice-sheet"
-86.25,68.6520156860352,21,"Ice-sheet"
-82.5,68.6520156860352,21,"Ice-sheet"
-78.75,68.6520156860352,21,"Ice-sheet"
-75,68.6520156860352,21,"Ice-sheet"
-71.25,68.6520156860352,21,"Ice-sheet"
-67.5,68.6520156860352,21,"Ice-sheet"
-52.5,68.6520156860352,21,"Ice-sheet"
-48.75,68.6520156860352,21,"Ice-sheet"
-45,68.6520156860352,21,"Ice-sheet"
-41.25,68.6520156860352,21,"Ice-sheet"
-37.5,68.6520156860352,21,"Ice-sheet"
-33.75,68.6520156860352,21,"Ice-sheet"
-30,68.6520156860352,21,"Ice-sheet"
-26.25,68.6520156860352,21,"Ice-sheet"
7.5,64.9419479370117,21,"Ice-sheet"
11.25,64.9419479370117,21,"Ice-sheet"
15,64.9419479370117,21,"Ice-sheet"
18.75,64.9419479370117,21,"Ice-sheet"
22.5,64.9419479370117,21,"Ice-sheet"
26.25,64.9419479370117,21,"Ice-sheet"
30,64.9419479370117,21,"Ice-sheet"
33.75,64.9419479370117,21,"Ice-sheet"
37.5,64.9419479370117,21,"Ice-sheet"
41.25,64.9419479370117,21,"Ice-sheet"
-135,64.9419479370117,21,"Ice-sheet"
-131.25,64.9419479370117,21,"Ice-sheet"
-127.5,64.9419479370117,21,"Ice-sheet"
-123.75,64.9419479370117,21,"Ice-sheet"
-120,64.9419479370117,21,"Ice-sheet"
-116.25,64.9419479370117,21,"Ice-sheet"
-112.5,64.9419479370117,21,"Ice-sheet"
-108.75,64.9419479370117,21,"Ice-sheet"
-105,64.9419479370117,21,"Ice-sheet"
-101.25,64.9419479370117,21,"Ice-sheet"
-97.5,64.9419479370117,21,"Ice-sheet"
-93.75,64.9419479370117,21,"Ice-sheet"
-90,64.9419479370117,21,"Ice-sheet"
-86.25,64.9419479370117,21,"Ice-sheet"
-82.5,64.9419479370117,21,"Ice-sheet"
-78.75,64.9419479370117,21,"Ice-sheet"
-75,64.9419479370117,21,"Ice-sheet"
-71.25,64.9419479370117,21,"Ice-sheet"
-67.5,64.9419479370117,21,"Ice-sheet"
-63.75,64.9419479370117,21,"Ice-sheet"
-52.5,64.9419479370117,21,"Ice-sheet"
-48.75,64.9419479370117,21,"Ice-sheet"
-45,64.9419479370117,21,"Ice-sheet"
-41.25,64.9419479370117,21,"Ice-sheet"
-18.75,64.9419479370117,21,"Ice-sheet"
-15,64.9419479370117,21,"Ice-sheet"
0,61.231575012207,21,"Ice-sheet"
3.75,61.231575012207,21,"Ice-sheet"
7.5,61.231575012207,21,"Ice-sheet"
11.25,61.231575012207,21,"Ice-sheet"
15,61.231575012207,21,"Ice-sheet"
18.75,61.231575012207,21,"Ice-sheet"
22.5,61.231575012207,21,"Ice-sheet"
26.25,61.231575012207,21,"Ice-sheet"
30,61.231575012207,21,"Ice-sheet"
33.75,61.231575012207,21,"Ice-sheet"
37.5,61.231575012207,21,"Ice-sheet"
-153.75,61.231575012207,21,"Ice-sheet"
-150,61.231575012207,21,"Ice-sheet"
-146.25,61.231575012207,21,"Ice-sheet"
-142.5,61.231575012207,21,"Ice-sheet"
-138.75,61.231575012207,21,"Ice-sheet"
-135,61.231575012207,21,"Ice-sheet"
-131.25,61.231575012207,21,"Ice-sheet"
-127.5,61.231575012207,21,"Ice-sheet"
-123.75,61.231575012207,21,"Ice-sheet"
-120,61.231575012207,21,"Ice-sheet"
-116.25,61.231575012207,21,"Ice-sheet"
-112.5,61.231575012207,21,"Ice-sheet"
-108.75,61.231575012207,21,"Ice-sheet"
-105,61.231575012207,21,"Ice-sheet"
-101.25,61.231575012207,21,"Ice-sheet"
-97.5,61.231575012207,21,"Ice-sheet"
-93.75,61.231575012207,21,"Ice-sheet"
-90,61.231575012207,21,"Ice-sheet"
-86.25,61.231575012207,21,"Ice-sheet"
-82.5,61.231575012207,21,"Ice-sheet"
-78.75,61.231575012207,21,"Ice-sheet"
-75,61.231575012207,21,"Ice-sheet"
-71.25,61.231575012207,21,"Ice-sheet"
-67.5,61.231575012207,21,"Ice-sheet"
-63.75,61.231575012207,21,"Ice-sheet"
-45,61.231575012207,21,"Ice-sheet"
-3.75,61.231575012207,21,"Ice-sheet"
0,57.5209922790527,21,"Ice-sheet"
3.75,57.5209922790527,21,"Ice-sheet"
7.5,57.5209922790527,21,"Ice-sheet"
11.25,57.5209922790527,21,"Ice-sheet"
15,57.5209922790527,21,"Ice-sheet"
18.75,57.5209922790527,21,"Ice-sheet"
22.5,57.5209922790527,21,"Ice-sheet"
26.25,57.5209922790527,21,"Ice-sheet"
30,57.5209922790527,21,"Ice-sheet"
-157.5,57.5209922790527,21,"Ice-sheet"
-153.75,57.5209922790527,21,"Ice-sheet"
-135,57.5209922790527,21,"Ice-sheet"
-131.25,57.5209922790527,21,"Ice-sheet"
-127.5,57.5209922790527,21,"Ice-sheet"
-123.75,57.5209922790527,21,"Ice-sheet"
-120,57.5209922790527,21,"Ice-sheet"
-116.25,57.5209922790527,21,"Ice-sheet"
-112.5,57.5209922790527,21,"Ice-sheet"
-108.75,57.5209922790527,21,"Ice-sheet"
-105,57.5209922790527,21,"Ice-sheet"
-101.25,57.5209922790527,21,"Ice-sheet"
-97.5,57.5209922790527,21,"Ice-sheet"
-93.75,57.5209922790527,21,"Ice-sheet"
-90,57.5209922790527,21,"Ice-sheet"
-86.25,57.5209922790527,21,"Ice-sheet"
-82.5,57.5209922790527,21,"Ice-sheet"
-78.75,57.5209922790527,21,"Ice-sheet"
-75,57.5209922790527,21,"Ice-sheet"
-71.25,57.5209922790527,21,"Ice-sheet"
-67.5,57.5209922790527,21,"Ice-sheet"
-63.75,57.5209922790527,21,"Ice-sheet"
-7.5,57.5209922790527,21,"Ice-sheet"
-3.75,57.5209922790527,21,"Ice-sheet"
0,53.8102722167969,21,"Ice-sheet"
