"Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Pollen.based.Reconstruction","MPI.ESM_GLAC1D","MPI.ESM_ICE6G","CLIMBER.X_GLAC1D","CLIMBER.X_ICE6G","TRACE.21K.I_ICE5G","TRACE.21K.II_ICE5G"
381,"Lac Ciel Blanc",59.51667,-122.167,651,"North America",4,4,4,4,4,8,8
489,"Clear Lake",43.12507,-93.4297,374,"North America",3,3,3,3,3,7,7
490,"Clear Lake",41.63854,-86.5446,244,"North America",3,3,3,3,3,7,7
492,"Clear Pond",33.7989,-78.9534,10,"North America",3,6,6,1,7,6,6
493,"Clearwater Lake",50.87361,-107.933,686,"North America",4,4,3,3,3,6,4
496,"Coghill Lake",53.91,-66.78,530,"North America",4,4,4,3,3,8,6
497,"Colo Marsh",42.02,-93.27,329,"North America",6,3,3,3,3,7,7
501,"Compass Pond",50.03417,-56.1964,236,"North America",4,4,4,3,3,8,4
506,"Copley Lake",38.87213,-107.083,3250,"North America",3,6,6,7,7,6,6
507,"Coppermine Saddleback",67.83333,-115.317,43,"North America",4,4,4,4,4,8,8
509,"Cotapampa",-15.2167,-69.1,4450,"South America",6,3,3,7,7,3,2
513,"Cottonwood Lake (Su)",44.83544,-99.9081,549,"North America",6,3,3,3,6,4,4
514,"Cottonwood Pass Pond",38.82873,-106.411,3670,"North America",4,6,6,7,7,6,6
516,"Cranberry Lake",44.1,-78.1,170,"North America",3,3,3,3,3,4,7
517,"Crane Lake",36.52986,-112.149,2590,"North America",3,6,6,6,6,6,6
518,"Cranberry Glades",38.2,-80.2833,1029,"North America",3,3,3,2,2,7,7
519,"Crates Lake",49.19,-81.26,259,"North America",4,3,3,3,3,4,4
523,"Crider's Pond",39.96667,-77.55,290,"North America",3,3,3,2,2,7,7
525,"Crowfoot Lake",51.65,-116.42,1940,"North America",4,4,4,4,4,8,4
527,"Crowsnest Lake",68.33,-146.46,881,"North America",4,8,8,4,8,8,8
532,"Cub Lake",44.72,-84.95,360,"North America",3,3,3,3,3,4,4
534,"Cub Lake",44.125,-111.183,1840,"North America",4,3,6,6,6,6,4
535,"Cueva Haichol",-38.5833,-70.6667,1050,"South America",2,3,3,6,6,3,3
537,"Cumbre Unduavi",-16.35,-68.0417,4620,"South America",6,3,3,7,7,3,2
539,"Cupola Pond",36.79913,-91.09,243,"North America",3,2,6,2,2,7,6
543,"Cygnet Lake Fen",44.65,-110.6,2530,"North America",4,3,3,6,6,4,4
547,"Lagoa das Patas",0.266667,-66.6833,300,"South America",1,1,1,1,1,1,1
550,"Davis Lake",46.59167,-122.25,282,"North America",3,3,3,3,3,4,4
672,"Decoy Lake",43.24126,-80.3674,260,"North America",3,3,3,3,3,4,7
673,"Deer Lake Bog",44.03333,-71.8333,1325,"North America",3,3,3,2,2,4,6
678,"Lac Demain",62.05,-118.7,745,"North America",4,4,4,4,4,8,8
679,"Demont Lake",43.48,-85,248,"North America",3,3,3,3,3,7,7
681,"Denton Lake",45.85397,-89.313,500,"North America",3,3,3,3,3,4,4
684,"Devils Lake",43.4178,-89.7321,294,"North America",3,3,3,3,3,7,6
688,"Diana 375",60.99,-69.95,114,"North America",8,6,6,3,4,8,8
691,"Lac du Diable",48.91083,-66.125,494,"North America",3,4,4,3,6,8,4
693,"Dinkey Meadow",37,-119.083,1683,"North America",3,6,6,6,6,6,6
699,"Dismal Swamp (91)",36.58333,-76.45,6,"North America",3,3,3,2,2,6,6
701,"Divide Lake",43.95,-110.23,2628,"North America",4,6,6,6,6,6,6
715,"Dlinnoye Lake",67.75673,-178.842,280,"Asia",8,8,8,6,4,8,8
719,"Dome Creek Meadow",40.02417,-107.051,3165,"North America",3,6,6,7,7,6,6
720,"Domsvatnet",70.32584,31.02587,120,"Europe",4,6,6,4,4,8,8
723,"Dovjok Swamp",48.75,28.25,274,"Europe",3,3,3,6,6,6,4
772,"Duck Pond",41.9327,-70.0005,2,"North America",3,3,3,2,2,4,6
773,"Lac Dufresne",45.85,-70.35,650,"North America",3,3,3,3,3,4,4
774,"Dunnigan Lake",47.70721,-91.6312,506,"North America",4,3,3,3,3,4,4
776,"Eagle Lake Bog",44.16667,-71.6667,1275,"North America",3,3,3,2,2,4,6
777,"Eagle Lake",53.23333,-58.55,400,"North America",4,4,4,3,3,8,6
778,"Eaglenest Lake",57.75,-112.09,725,"North America",4,3,3,4,3,8,8
782,"East Baltic Bog",46.40833,-62.15,45,"North America",3,3,3,3,6,4,6
784,"Edessa",40.81806,21.9525,350,"Europe",3,7,6,6,6,6,6
785,"Edward Lake",44.36,-80.25,518,"North America",3,3,3,3,3,4,7
788,"Elikchan 4 Lake",51.79,60.73,810,"Asia",4,6,3,3,3,6,7
790,"Eldora Fen",39.93667,-105.58,2848,"North America",3,6,6,7,7,6,6
792,"Elgennya Lake",62.08333,149,1040,"Asia",8,8,8,4,4,8,8
802,"Ennadai Lake, 1972 Site",61.24444,-100.951,325,"North America",4,4,4,4,4,8,8
