"Region","Timeslice","EMD","Region_code"
"Global","4.5",0.176124513149261,"Global"
"Global","4.5",0.246308974921704,"Global"
"Global","4.5",0.300222158432007,"Global"
"Global","4.5",0.269420765340328,"Global"
"Global","4.5",0.376150101423263,"Global"
"Global","4.5",0.418029040098191,"Global"
"Global","4.5",0.209017738699913,"Global"
"Global","4.5",0.25070171430707,"Global"
"Global","4.5",0.334716498851776,"Global"
"Global","4.5",0.334110543131829,"Global"
"Global","4.5",0.223323807120323,"Global"
"Global","5",0.192638169974089,"Global"
"Global","5",0.304213374853134,"Global"
"Global","5",0.30782413482666,"Global"
"Global","5",0.207706786692142,"Global"
"Global","5",0.168606132268906,"Global"
"Global","5",0.247445441782475,"Global"
"Global","5",0.306715726852417,"Global"
"Global","5",0.276809722185135,"Global"
"Global","5",0.364936679601669,"Global"
"Global","5",0.396328389644623,"Global"
"Global","5",0.213399700820446,"Global"
"Global","5",0.25188734382391,"Global"
"Global","5",0.305864810943604,"Global"
"Global","5",0.325565218925476,"Global"
"Global","5",0.178432509303093,"Global"
"Global","5.5",0.18400178477168,"Global"
"Global","5.5",0.299428887665272,"Global"
"Global","5.5",0.313413247466087,"Global"
"Global","5.5",0.207266144454479,"Global"
"Global","5.5",0.167542070150375,"Global"
"Global","5.5",0.255316421389579,"Global"
"Global","5.5",0.309428974986076,"Global"
"Global","5.5",0.274583026766777,"Global"
"Global","5.5",0.365469411015511,"Global"
"Global","5.5",0.405327305197715,"Global"
"Global","5.5",0.207482390105725,"Global"
"Global","5.5",0.233060229569674,"Global"
"Global","5.5",0.302617609500885,"Global"
"Global","5.5",0.338358134031295,"Global"
"Global","5.5",0.165041506290436,"Global"
"Global","6",0.188653230667114,"Global"
"Global","6",0.284947067499161,"Global"
"Global","6",0.30945160984993,"Global"
"Global","6",0.210370898246765,"Global"
"Global","6",0.173643805086613,"Global"
"Global","6",0.231098990887403,"Global"
"Global","6",0.306595996022224,"Global"
"Global","6",0.281659461557865,"Global"
"Global","6",0.360895216464996,"Global"
"Global","6",0.376645058393478,"Global"
"Global","6",0.202626578509808,"Global"
"Global","6",0.238970972597599,"Global"
"Global","6",0.306548789143563,"Global"
"Global","6",0.313324272632599,"Global"
"Global","6",0.181952401995659,"Global"
"Global","6.5",0.187641948461532,"Global"
"Global","6.5",0.283830106258392,"Global"
"Global","6.5",0.302004709839821,"Global"
"Global","6.5",0.211443841457367,"Global"
"Global","6.5",0.171779975295067,"Global"
"Global","6.5",0.247014984488488,"Global"
"Global","6.5",0.295608758926392,"Global"
"Global","6.5",0.294249929487706,"Global"
"Global","6.5",0.36846075952053,"Global"
"Global","6.5",0.391734465956688,"Global"
"Global","6.5",0.192863598465919,"Global"
"Global","6.5",0.254931330680847,"Global"
"Global","6.5",0.319769836962223,"Global"
"Global","6.5",0.286802180111407,"Global"
"Global","6.5",0.174284987151623,"Global"
"Global","7",0.185846790671349,"Global"
"Global","7",0.281487911939621,"Global"
"Global","7",0.286235891282558,"Global"
"Global","7",0.209961719810963,"Global"
"Global","7",0.170362696051598,"Global"
"Global","7",0.230009391903877,"Global"
"Global","7",0.300605818629265,"Global"
"Global","7",0.298462420701981,"Global"
"Global","7",0.365507826209068,"Global"
"Global","7",0.400541216135025,"Global"
"Global","7",0.186346367001534,"Global"
"Global","7",0.232028305530548,"Global"
"Global","7",0.327249854803085,"Global"
"Global","7",0.290034890174866,"Global"
"Global","7",0.177969694137573,"Global"
"Global","7.5",0.18622475862503,"Global"
"Global","7.5",0.289335697889328,"Global"
"Global","7.5",0.36072725057602,"Global"
"Global","7.5",0.216522812843323,"Global"
"Global","7.5",0.17300608754158,"Global"
"Global","7.5",0.237584501504898,"Global"
"Global","7.5",0.30490280687809,"Global"
"Global","7.5",0.292649894952774,"Global"
"Global","7.5",0.356467664241791,"Global"
"Global","7.5",0.407289028167725,"Global"
"Global","7.5",0.174578547477723,"Global"
"Global","7.5",0.207578629255295,"Global"
"Global","7.5",0.313855141401291,"Global"
"Global","7.5",0.287106722593307,"Global"
"Global","7.5",0.188985988497735,"Global"
"Global","8",0.181457668542862,"Global"
"Global","8",0.292600765824318,"Global"
"Global","8",0.334697298705578,"Global"
"Global","8",0.225832931697369,"Global"
"Global","8",0.177114710211754,"Global"
"Global","8",0.235923185944558,"Global"
"Global","8",0.304983414709568,"Global"
"Global","8",0.277977861464023,"Global"
"Global","8",0.347976446151734,"Global"
"Global","8",0.404138714075089,"Global"
"Global","8",0.188933327794075,"Global"
"Global","8",0.224044293165207,"Global"
"Global","8",0.308766439557076,"Global"
"Global","8",0.284660637378693,"Global"
"Global","8",0.181858330965042,"Global"
"Global","8.5",0.180999949574471,"Global"
"Global","8.5",0.291496634483338,"Global"
"Global","8.5",0.354075342416764,"Global"
"Global","8.5",0.223760336637497,"Global"
"Global","8.5",0.172886379063129,"Global"
"Global","8.5",0.239813804626465,"Global"
"Global","8.5",0.306962698698044,"Global"
"Global","8.5",0.285133168101311,"Global"
"Global","8.5",0.35256689786911,"Global"
"Global","8.5",0.381904184818268,"Global"
"Global","8.5",0.171270191669464,"Global"
"Global","8.5",0.233792439103127,"Global"
"Global","8.5",0.320566266775131,"Global"
"Global","8.5",0.320054240524769,"Global"
"Global","8.5",0.186074607074261,"Global"
"Global","9",0.185910433530807,"Global"
"Global","9",0.281525075435638,"Global"
"Global","9",0.32703885436058,"Global"
"Global","9",0.226609013974666,"Global"
"Global","9",0.179966866970062,"Global"
"Global","9",0.235219657421112,"Global"
"Global","9",0.306143894791604,"Global"
"Global","9",0.26971398293972,"Global"
"Global","9",0.357085764408112,"Global"
"Global","9",0.386203855276108,"Global"
"Global","9",0.166934199631214,"Global"
"Global","9",0.231748148798943,"Global"
"Global","9",0.315161317586899,"Global"
"Global","9",0.31415867805481,"Global"
"Global","9",0.205841556191445,"Global"
