"Source","Longitude","Latitude","BIO10","BIO11","BIO18","BIO19"
"MPI-ESM_GLAC1D - CRU",101.25,79.7770462036133,1.21726726116615,2.0413264751435,10.8943560175596,10.4512556529836
"MPI-ESM_GLAC1D - CRU",-86.25,79.7770462036133,0.5094026255732,6.56661310990659,53.0075381912291,11.8936622121604
"MPI-ESM_GLAC1D - CRU",-82.5,79.7770462036133,0.61786617881931,6.32606624762225,48.6209084510802,17.1343009204836
"MPI-ESM_GLAC1D - CRU",-75,79.7770462036133,2.54002767956507,6.0292174021403,45.7370955079794,-10.6651941357879
"MPI-ESM_GLAC1D - CRU",97.5,76.0702438354492,-0.17033698602267,0.997753683726003,21.8183019608261,1.1645644508301
"MPI-ESM_GLAC1D - CRU",101.25,76.0702438354492,0.44195469412954,0.287050596873001,34.4711548924449,1.4483213424682
"MPI-ESM_GLAC1D - CRU",105,76.0702438354492,1.44487137251226,0.478378645579102,5.64447512328626,2.6846692033112
"MPI-ESM_GLAC1D - CRU",108.75,76.0702438354492,0.32825676742943,2.2841860532761,-8.56236893311144,2.60351508781315
"MPI-ESM_GLAC1D - CRU",-116.25,76.0702438354492,1.71328286603096,5.03070158958435,27.0775847025215,22.0396932215662
"MPI-ESM_GLAC1D - CRU",-112.5,76.0702438354492,1.45010577378176,4.5792953809103,34.303886409849,25.074171867338
"MPI-ESM_GLAC1D - CRU",-86.25,76.0702438354492,2.52354324907067,4.5227849006654,50.714538515359,16.4588828348788
"MPI-ESM_GLAC1D - CRU",-82.5,76.0702438354492,3.02291825190188,4.8593474547069,41.9395819291475,20.6199161553057
"MPI-ESM_GLAC1D - CRU",52.5,72.3615798950195,-1.4860018874208,-3.8291425943374,-19.159323935956,0.474458361533401
"MPI-ESM_GLAC1D - CRU",56.25,72.3615798950195,-1.21607999900975,-3.4565644423167,-16.89384841919,-2.8536828293
"MPI-ESM_GLAC1D - CRU",67.5,72.3615798950195,-2.18189950917535,-2.3469080050786,15.3240965873005,39.5363076478244
"MPI-ESM_GLAC1D - CRU",71.25,72.3615798950195,-0.842732847606126,-2.1520642002423,10.374959912896,31.5404084816576
"MPI-ESM_GLAC1D - CRU",75,72.3615798950195,-0.40562346394482,-2.2328454613685,-5.07959529012399,11.8898348085582
"MPI-ESM_GLAC1D - CRU",78.75,72.3615798950195,-0.26601411812005,-2.8317517439524,-11.969784467667,3.8294565491378
"MPI-ESM_GLAC1D - CRU",82.5,72.3615798950195,0.104871321097035,-2.29128291606895,-11.348892373592,-1.65454028025265
"MPI-ESM_GLAC1D - CRU",86.25,72.3615798950195,-0.52557137546438,-1.3229756355285,0.20404485613102,-20.3505583100022
"MPI-ESM_GLAC1D - CRU",90,72.3615798950195,-0.85299329183373,-0.887819298108298,8.908531358093,-17.7899543941021
"MPI-ESM_GLAC1D - CRU",93.75,72.3615798950195,-0.96525893211363,-0.321204678217498,21.463247222453,-10.9011654280126
"MPI-ESM_GLAC1D - CRU",97.5,72.3615798950195,-1.19515476996699,-0.0793297529219501,36.295798258483,-4.7511082403361
"MPI-ESM_GLAC1D - CRU",101.25,72.3615798950195,-1.50049327413239,0.056712055206404,51.841563048214,-1.6163244597614
"MPI-ESM_GLAC1D - CRU",105,72.3615798950195,-1.04359225556253,0.0579099257787519,55.9811899036165,1.07694681882855
"MPI-ESM_GLAC1D - CRU",108.75,72.3615798950195,-0.98559748232363,1.17155585289,41.324395381659,1.36264399811625
"MPI-ESM_GLAC1D - CRU",112.5,72.3615798950195,-2.12452974120774,2.4736130714417,28.360314645618,0.213589517027099
"MPI-ESM_GLAC1D - CRU",116.25,72.3615798950195,-2.37421730756757,3.9381445407868,15.530796706676,0.439153745770401
"MPI-ESM_GLAC1D - CRU",120,72.3615798950195,-2.92140479485191,4.7027537822724,5.69582192450801,0.781836602836897
"MPI-ESM_GLAC1D - CRU",123.75,72.3615798950195,-2.47895684440929,5.2712954918544,-17.9631761893625,-2.27507022470235
"MPI-ESM_GLAC1D - CRU",127.5,72.3615798950195,-3.06630060076711,6.1849152723949,-33.4831681258978,-2.8312744803726
"MPI-ESM_GLAC1D - CRU",131.25,72.3615798950195,-4.66299327611921,7.8172332763672,-25.2906074352559,5.0725397527218
"MPI-ESM_GLAC1D - CRU",138.75,72.3615798950195,-2.77265474398929,3.34647775491085,21.027698525041,18.5479757744818
"MPI-ESM_GLAC1D - CRU",142.5,72.3615798950195,-0.2419515530889,0.390409922599801,26.6059980064631,18.7677549488843
"MPI-ESM_GLAC1D - CRU",146.25,72.3615798950195,-2.38505054712294,0.749889119466104,-4.73392069935801,8.1779150441289
"MPI-ESM_GLAC1D - CRU",-123.75,72.3615798950195,4.83974116801596,3.2645294666291,39.2362617783247,36.4798012026818
"MPI-ESM_GLAC1D - CRU",-120,72.3615798950195,4.69461094398674,3.5983315308889,30.5195815600456,32.7712755472632
"MPI-ESM_GLAC1D - CRU",-116.25,72.3615798950195,4.6214338683213,4.4416910330455,23.7631219662727,29.4442406573566
"MPI-ESM_GLAC1D - CRU",-112.5,72.3615798950195,4.54520991820223,4.83734215100605,29.1893176443875,31.3918541752965
"MPI-ESM_GLAC1D - CRU",-108.75,72.3615798950195,3.37234532727552,5.0995296001435,33.2034555092453,34.0496349261375
"MPI-ESM_GLAC1D - CRU",-93.75,72.3615798950195,3.58929846137764,4.3752328872681,49.3532230645419,25.4750826972769
"MPI-ESM_GLAC1D - CRU",-86.25,72.3615798950195,3.30692864836506,1.2335920015971,83.8881116032606,30.0743684702785
